Time (volumes),Stimulus timing (faces),Stimulus prediction (faces),Stimulus prediction (objects),fMRI response (red),fMRI response (purple)
97,0,-2.48E-01,6.57E-01,-0.34233093,1.14260864
98,0,-2.48E-01,4.87E-01,0.01903534,-0.9788208
99,0,-2.49E-01,2.70E-01,-1.11180115,-1.85248566
100,0,-2.49E-01,7.84E-02,-1.38011169,-2.90750122
101,0,-2.50E-01,-6.00E-02,-0.87679291,-2.15103912
102,0,-2.51E-01,-1.48E-01,-1.31038666,-4.58479309
103,0,-2.51E-01,-2.00E-01,-1.03148651,-4.22961426
104,1,-2.50E-01,-2.28E-01,-2.11136627,-4.10582733
105,1,-1.85E-01,-2.42E-01,-0.54486084,-3.76682281
106,1,-7.24E-03,-2.49E-01,1.10420227,-0.7080307
107,1,2.13E-01,-2.52E-01,1.43112946,2.15439606
108,1,4.06E-01,-2.54E-01,2.52200317,3.44458771
109,1,5.46E-01,-2.54E-01,1.39118195,2.16535187
110,1,6.35E-01,-2.54E-01,2.39393616,2.02507782
111,1,6.87E-01,-2.54E-01,2.59046936,2.89056396
112,0,7.14E-01,-2.54E-01,2.94591522,4.22827148
113,0,6.63E-01,-2.54E-01,2.80075073,4.89598846
114,0,4.92E-01,-2.54E-01,1.34390259,3.48819733
115,0,2.75E-01,-2.54E-01,-0.84140015,1.09679413
116,0,8.38E-02,-2.54E-01,-0.48500824,-1.60203552
117,0,-5.47E-02,-2.55E-01,-1.40280914,-3.83068085
118,0,-1.43E-01,-2.55E-01,-1.38088989,-4.11929321
119,0,-1.95E-01,-2.56E-01,-0.96016693,-2.55683899
120,0,-2.23E-01,-2.54E-01,-1.60765839,-2.36245728
121,0,-2.38E-01,-1.89E-01,-0.89292908,-3.34468079
122,0,-2.45E-01,-1.09E-02,-0.34177399,-1.70407867
123,0,-2.49E-01,2.10E-01,0.05893707,-0.6578598
124,0,-2.50E-01,4.04E-01,0.84864044,-0.73840332
125,0,-2.51E-01,5.43E-01,0.45922852,1.48451233
126,0,-2.51E-01,6.33E-01,0.66161346,2.60335541
127,0,-2.52E-01,6.86E-01,1.18704224,5.17469788
128,0,-2.52E-01,7.13E-01,0.28421021,5.64806366
129,0,-2.53E-01,6.63E-01,0.70641327,6.53058624
130,0,-2.54E-01,4.94E-01,-0.56124878,4.59003448
131,0,-2.55E-01,2.78E-01,-1.55053711,1.82245636
132,0,-2.57E-01,8.75E-02,-2.14842224,-2.13965607
133,0,-2.58E-01,-4.97E-02,-1.34043884,-4.12089539
134,0,-2.60E-01,-1.37E-01,-2.20988464,-3.39582825
135,0,-2.62E-01,-1.87E-01,-2.03694916,-4.1027298
136,1,-2.62E-01,-2.14E-01,-1.94052887,-5.26596832
137,1,-1.98E-01,-2.27E-01,-1.75988007,-4.70904541
138,1,-2.15E-02,-2.32E-01,-0.19671631,-1.46366882
139,1,1.98E-01,-2.34E-01,1.94426727,0.72480774
140,1,3.90E-01,-2.35E-01,2.60403442,2.68423462
141,1,5.29E-01,-2.34E-01,2.8921814,2.91867065
142,1,6.17E-01,-2.34E-01,1.92919922,2.72318268
143,1,6.69E-01,-2.34E-01,2.98926544,2.80028534
144,0,6.96E-01,-2.34E-01,1.84158325,0.802742
145,0,6.46E-01,-2.35E-01,1.80511475,0.75984192
146,0,4.77E-01,-2.37E-01,1.55596924,0.09274292
147,0,2.62E-01,-2.41E-01,-0.29175568,-1.86121368
148,0,7.34E-02,-2.45E-01,-1.43990326,-2.82705688
149,0,-6.11E-02,-2.50E-01,-0.6616745,-3.14642334
150,0,-1.44E-01,-2.57E-01,0.00797272,-2.78662109
151,0,-1.90E-01,-2.65E-01,-0.84241486,-3.48971558
152,0,-2.10E-01,-2.73E-01,-2.53623962,-3.36942291
153,0,-2.16E-01,-2.18E-01,-2.3910141,-4.09217072
154,0,-2.13E-01,-5.31E-02,-0.73151398,-1.46569061
155,0,-2.04E-01,1.53E-01,0.49150848,1.48632812
156,0,-1.92E-01,3.29E-01,0.07635498,2.28778076
157,0,-1.78E-01,4.50E-01,0.44221497,3.77606201
158,0,-1.61E-01,5.17E-01,0.3246994,4.16864014
159,0,-1.43E-01,5.46E-01,0.59424591,3.52168274
